province_code,province,province_id,year,Emissions_Tons,Poverty_Rate_Percent,Tax_Score,Tax_Rate,Tax_Rate_Rp_Per_Ton,Government_Revenue_Rp,Government_Revenue_Trillions,National_Total_Trillions,Contribution_Percent
33,Jawa Tengah,33,2013,81082540.0,14.5,0.3693559169769287,55.40338897705078,55403.38897705078,4492247502867.279,4.492247502867279,123.95435609311565,3.624114266297073
33,Jawa Tengah,33,2014,85655380.0,14.02,0.38234835863113403,57.35225296020508,57352.25296020508,4912529021162.491,4.9125290211624915,96.7359508401548,5.078286798751675
33,Jawa Tengah,33,2015,85991360.0,13.45,0.39089152216911316,58.63372802734375,58633.72802734375,5041994014941.406,5.041994014941406,153.75591472698642,3.279219549956254
33,Jawa Tengah,33,2016,89946620.0,13.23,0.3992362916469574,59.88544464111328,59885.44464111328,5386493332665.253,5.386493332665253,95.39733471479137,5.646377174759869
33,Jawa Tengah,33,2017,99027740.0,12.62,0.419926255941391,62.98893737792969,62988.93737792969,6237652113537.902,6.237652113537902,142.49052763509624,4.377590719231454
33,Jawa Tengah,33,2018,78544380.0,11.255,0.409424751996994,61.41371154785156,61413.71154785156,4823701897024.842,4.823701897024842,130.05684757562045,3.708918051562138
33,Jawa Tengah,33,2019,84871940.0,10.69,0.42513373494148254,63.77006149291992,63770.06149291992,5412288832823.41,5.4122888328234104,166.97311581775486,3.241413329515111
33,Jawa Tengah,33,2020,92154550.0,11.625,0.42336300015449524,63.504451751708984,63504.451751708984,5852224174175.453,5.852224174175453,99.50137786527935,5.881550888771728
33,Jawa Tengah,33,2021,109251840.55918753,9.95850825473666,0.4678404927253723,70.17607390880585,70176.07390880585,7666865237754.616,7.6668652377546165,123.44367022788359,6.210820873683661
33,Jawa Tengah,33,2022,85039674.1442734,9.783063253313303,0.43681424856185913,65.52213728427887,65522.13728427887,5571981203891.422,5.571981203891422,120.91342638475813,4.608240267843245
33,Jawa Tengah,33,2023,57033965.16543627,9.349131264612078,0.4048028886318207,60.7204332947731,60720.4332947731,3463127077364.2856,3.4631270773642857,191.78496065498481,1.8057344358686933
33,Jawa Tengah,33,2024,94955859.3346268,9.102142528444528,0.45886728167533875,68.83009225130081,68830.09225130081,6535820557803.905,6.5358205578039055,196.38567731566025,3.3280535765846935
33,Jawa Tengah,33,2025,49332078.50586623,8.6228393176198,0.4041675329208374,60.62512993812561,60625.12993812561,2990763669535.9536,2.9907636695359536,160.23309227791265,1.8665081145339761
33,Jawa Tengah,33,2026,41864259.282527864,8.899852535203099,0.39026156067848206,58.53923410177231,58539.23410177231,2450701674637.193,2.450701674637193,185.8465259730513,1.3186696182809232
33,Jawa Tengah,33,2027,64734944.10295129,8.36296512454748,0.4283256530761719,64.24884796142578,64248.84796142578,4159145581461.9136,4.159145581461914,247.10599362923398,1.6831423311012172
33,Jawa Tengah,33,2028,36370107.884607315,7.811260805279016,0.39757654070854187,59.63648110628128,59636.48110628128,2168985251693.796,2.1689852516937957,277.70974505192873,0.7810259777841858
33,Jawa Tengah,33,2029,72181882.34459281,8.273103414326906,0.43938446044921875,65.90766906738281,65907.66906738281,4757339614228.186,4.757339614228186,197.20083671833044,2.4124337875012554
33,Jawa Tengah,33,2030,61094620.9725976,7.55470104496926,0.43451595306396484,65.17739295959473,65177.39295959473,3981988118848.491,3.9819881188484914,197.01718290465732,2.0211374765090913
34,DI Yogyakarta,34,2010,5887070.0,16.83,0.2505855858325958,37.58783721923828,37587.83721923828,221282228858.2611,0.2212822288582611,78.1124105928088,0.2832869030400053
